,street,zipcode,price,sq,rooms,gestoffeerd,available
https://www.woonnet.nl/huurwoning/amsterdam/6532_senecastraat,Senecastraat ,1064 ZJ,1062.0,60,2,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4184_mt-lincolnweg,mt. Lincolnweg ,1033 SN,935.0,51,1,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6088_daguerrestraat,Daguerrestraat ,1087 BR,850.0,30,1,Gestoffeerd,01-05-2020
https://www.woonnet.nl/huurwoning/amsterdam/9895_senecastraat,Senecastraat ,1064 ZJ,1040.0,56,2,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/5614_dr-h-colijnstraat,Dr. H. Colijnstraat ,1067 CP,1065.0,99,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/5364_jasper-leijnsenstraat,Jasper Leijnsenstraat ,1056 XW,700.0,52,3,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4444_delflandplein,Delflandplein ,1062 HP,542.0,74,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/5405_gerard-doustraat,Gerard Doustraat ,1072 VW,1275.0,30,1,Gestoffeerd,01-05-2020
https://www.woonnet.nl/huurwoning/amsterdam/4528_lange-leidsedwarsstraat,Lange Leidsedwarsstraat ,1017 NM,1020.0,30,1,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3954_lodewijk-tripstraat,Lodewijk Tripstraat ,1052 ER,1195.0,30,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/7034_rijswijkstraat,Rijswijkstraat ,1062 EA,1315.0,63,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2866_admiraal-de-ruijterweg,Admiraal De Ruijterweg ,1055 MR,613.0,135,4,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2808_johan-van-der-keukenstraat,Johan van der Keukenstraat ,1087 BC,945.0,48,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6085_sumatrakade,Sumatrakade ,1019 RB,1140.0,68,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/3040_sassenheimstraat,Sassenheimstraat ,1059 BL,1300.0,55,1,Gestoffeerd,01-05-2020
https://www.woonnet.nl/huurwoning/amsterdam/9478765_wagenaarstraat,Wagenaarstraat ,1093 CN,1250.0,45,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9479234_brouwersgracht,Brouwersgracht ,1015 GG,1700.0,55,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/6811_claus-van-amsbergstraat,Claus van Amsbergstraat ,1102 AZ,850.0,36,1,Gemeubileerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9477462_plantage-badlaan,Plantage Badlaan ,1018 TH,1750.0,53,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9477717_hillegomstraat,Hillegomstraat ,1058 LT,3000.0,120,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/3326_lijnbaansgracht,Lijnbaansgracht ,1017 XC,990.0,33,1,Gestoffeerd,01-05-2020
