,street,zipcode,price,sq,rooms,gestoffeerd,available
https://www.woonnet.nl/huurwoning/utrecht/9478701_abstederdijk,Abstederdijk ,Utrecht </p>,€975,42,1,Gestoffeerd,2020-05-01
https://www.woonnet.nl/huurwoning/utrecht/9477485_nicolaas-beetsstraat,Nicolaas Beetsstraat ,Utrecht </p>,€1150,70,1,Gestoffeerd,2020-04-01
https://www.woonnet.nl/huurwoning/utrecht/9424472_westerdijk,Westerdijk 4-1703,3513 EW,€1495,50,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/9475328_azaleastraat,Azaleastraat ,Utrecht </p>,€650,20,99,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/utrecht/9438716_willem-barentszstraat,Willem Barentszstraat ,Utrecht </p>,€1275,105,1,Gestoffeerd,2020-05-01
https://www.woonnet.nl/huurwoning/utrecht/9339677_theemsdreef,Theemsdreef 306,3562 EM,€1195,100,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/9440348_oudenoord,Oudenoord ,Utrecht </p>,€1450,72,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/utrecht/9437194_biltstraat,Biltstraat ,Utrecht </p>,€1075,39,1,Gemeubileerd,2020-04-01
https://www.woonnet.nl/huurwoning/utrecht/9287655_r252mkelaan,R&amp;#252;mkelaan 38,3571 XW,€1200,45,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/9425419_lombokstraat,Lombokstraat 74app 1,Utrecht </p>,€950,35,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/9401576_david-van-mollemstraat,David Van Mollemstraat ,Utrecht </p>,€2500,159,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/utrecht/9235180_r252mkelaan,R&amp;#252;mkelaan 38,3571 XW,€1200,45,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/9338376_poelhekkestraat,Poelhekkestraat ,Utrecht </p>,€475,22,99,Beschikbaar per: 2020-04-01,gratis!</span>
https://www.woonnet.nl/huurwoning/utrecht/6515498_rooseveltlaan,Rooseveltlaan ,Utrecht </p>,€1350,76,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/utrecht/9110539_r252mkelaan,R&amp;#252;mkelaan 38,3571 XW,€1200,45,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/9320381_livarstraat,Livarstraat ,Utrecht </p>,€1290,64,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/utrecht/9304981_mh-trompstraat,M.h. Trompstraat ,Utrecht </p>,€975,33,1,Gemeubileerd,beschikbaar
