,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/4263_sint-hubertpad,Sint Hubertpad ,1066 HN,895.0,85,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3977463_juliana-van-stolbergstraat,Juliana Van Stolbergstraat ,1055 RG,1550.0,55,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4740_middenweg,Middenweg ,1097 VB,750.0,65,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4173_mercuriusplein,Mercuriusplein ,1033 AZ,850.0,35,1,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9383_molenwerf,Molenwerf ,1014 AG,1200.0,62,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4543_nassaukade,Nassaukade ,1053 LV,1000.0,25,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6532_senecastraat,Senecastraat ,1064 ZJ,1062.0,60,2,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4184_mt-lincolnweg,mt. Lincolnweg ,1033 SN,935.0,51,1,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/348_nicolaas-beetsstraat,Nicolaas Beetsstraat ,1053 RM,795.0,35,1,Ongemeubileerd,2020-05-01,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9895_senecastraat,Senecastraat ,1064 ZJ,1040.0,56,2,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/5614_dr-h-colijnstraat,Dr. H. Colijnstraat ,1067 CP,1065.0,99,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1462_van-woustraat,Van Woustraat ,1073 LM,750.0,55,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4444_delflandplein,Delflandplein ,1062 HP,542.0,74,3,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/5405_gerard-doustraat,Gerard Doustraat ,1072 VW,1275.0,30,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4499_blokmakerstraat,Blokmakerstraat ,1013 DG,600.0,82,3,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3954_lodewijk-tripstraat,Lodewijk Tripstraat ,1052 ER,1195.0,30,1,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7034_rijswijkstraat,Rijswijkstraat ,1062 EA,1315.0,63,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3257_bilderdijkstraat,Bilderdijkstraat ,1053 KS,900.0,25,1,Gestoffeerd,01-05-2020,01-04-2020
