,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/4263_sint-hubertpad,Sint Hubertpad ,1066 HN,895.0,85,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7883_kinderdijkstraat,Kinderdijkstraat ,1079 GS,525.0,54,4,Gestoffeerd,01-07-2020,2020-06-15 12:23:42.615699
https://www.woonnet.nl/huurwoning/amsterdam/3441_leuvenstraat,Leuvenstraat ,1066 DZ,1150.0,91,2,Gestoffeerd,01-07-2020,2020-06-15 12:23:42.616203
https://www.woonnet.nl/huurwoning/amsterdam/9665_karel-van-de-woestijnestraat,Karel van de Woestijnestraat ,1064 VA,188.0,53,2,Gestoffeerd,beschikbaar,2020-06-15 12:23:42.616723
https://www.woonnet.nl/huurwoning/amsterdam/10464205_jan-willem-brouwersstraat,Jan Willem Brouwersstraat ,1071 LH,3000.0,125,4,Gemeubileerd,beschikbaar,2020-06-15 12:23:42.909868
https://www.woonnet.nl/huurwoning/amsterdam/10446227_kerkstraat,Kerkstraat 55 I,1017 GC,2100.0,105,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:42.910609
https://www.woonnet.nl/huurwoning/amsterdam/1328_leidsegracht,Leidsegracht ,1016 CS,1000.0,30,1,Gestoffeerd,01-07-2020,2020-06-15 12:23:42.911298
https://www.woonnet.nl/huurwoning/amsterdam/10430218_cornelis-schuytstraat,Cornelis Schuytstraat 21 I,1071 JD,2000.0,62,1,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:42.911957
https://www.woonnet.nl/huurwoning/amsterdam/10434923_jan-van-zutphenstraat,Jan Van Zutphenstraat 179,1069 RR,1325.0,70,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:42.912607
https://www.woonnet.nl/huurwoning/amsterdam/8808_delflandplein,Delflandplein ,1062 HV,552.0,80,3,Gestoffeerd,01-07-2020,2020-06-15 12:23:42.913261
https://www.woonnet.nl/huurwoning/amsterdam/10441036_elisabeth-wolffstraat,Elisabeth Wolffstraat ,1053 TV,1750.0,50,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:43.372715
https://www.woonnet.nl/huurwoning/amsterdam/10430061_keizersgracht,Keizersgracht ,1015 CD,2000.0,75,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:43.816345
https://www.woonnet.nl/huurwoning/amsterdam/7412_overpeltstraat,Overpeltstraat ,1066 PS,1025.0,94,3,Gestoffeerd,01-07-2020,2020-06-15 12:23:43.817082
https://www.woonnet.nl/huurwoning/amsterdam/10428904_van-boshuizenstraat,Van Boshuizenstraat ,1083 AP,1400.0,87,2,Gemeubileerd,beschikbaar,2020-06-15 12:23:44.126723
https://www.woonnet.nl/huurwoning/amsterdam/10427471_de-lairessestraat,De Lairessestraat ,1071 NR,2450.0,119,2,Gemeubileerd,beschikbaar,2020-06-15 12:23:44.738077
https://www.woonnet.nl/huurwoning/amsterdam/3735_wolbrantskerkweg,Wolbrantskerkweg ,1069 DA,575.0,132,4,Gestoffeerd,01-07-2020,2020-06-15 12:23:44.738844
https://www.woonnet.nl/huurwoning/amsterdam/10405191_wim-van-estlaan,Wim Van Estlaan ,1061,1650.0,85,2,Gemeubileerd,2020-07-01,2020-06-15 12:23:45.353227
