,street,zipcode,price,sq,rooms,gestoffeerd,available
https://www.woonnet.nl/huurwoning/amsterdam/5364_jasper-leijnsenstraat,Jasper Leijnsenstraat ,1056 XW,700.0,52,3,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2866_admiraal-de-ruijterweg,Admiraal De Ruijterweg ,1055 MR,613.0,135,4,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8591_appartement-admiraal,Admiraal De Ruijterweg ,1057 JT,733.0,73,3,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8711_admiraal-de-ruijterweg,Admiraal De Ruijterweg ,1057 JW,1300.0,77,2,Gestoffeerd,01-05-2020
https://www.woonnet.nl/huurwoning/amsterdam/9467459_derde-wittenburgerdwarsstraat,Derde Wittenburgerdwarsstraat ,1018 KR,1575.0,60,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1465_van-woustraat,Van Woustraat ,1073 LM,750.0,55,2,Gestoffeerd,01-05-2020
https://www.woonnet.nl/huurwoning/amsterdam/8741_lorreinenstraat,Lorreinenstraat ,1055 DA,745.0,55,2,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9437519_rooswijck,Rooswijck ,1081 AJ,1600.0,76,99,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/8972_scheldestraat,Scheldestraat ,1078 GH,1150.0,75,3,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8993_wijenburg,Wijenburg ,1082 VZ,687.0,67,3,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2431_afroditekade,Afroditekade ,1076 DP,1225.0,75,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6905_assumburg,Assumburg ,1081 GC,625.0,100,4,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6149062_bloemstraat,Bloemstraat ,1016 KV,1600.0,52,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6691_roerstraat,Roerstraat ,1078 LR,750.0,90,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9322384_pieter-cornelisz-hooftstraat,Pieter Cornelisz. Hooftstraat ,1071 CH,1500.0,75,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/6523_staalmeesterslaan,Staalmeesterslaan ,1057 PG,1170.0,85,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1532_staalmeesterslaan,Staalmeesterslaan ,1057 NG,1375.0,95,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/7225_juliana-van-stolbergstraat,Juliana van Stolbergstraat ,1055 RN,675.0,56,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9217718_bilderdijkstraat,Bilderdijkstraat ,1052 NA,1500.0,60,2,Beschikbaar per: 2020-05-01,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/6071_admiraal-de-ruijterweg,Admiraal De Ruijterweg ,1055 ND,1500.0,56,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/3549_eerste-van-swindenstraat,Eerste Van Swindenstraat ,1093 GB,1405.0,68,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/7393_gloriantstraat,Gloriantstraat ,1055 CV,700.0,55,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8155_weesperstraat,Weesperstraat ,1018 DN,737.0,72,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8997636_haarlemmermeerstraat,Haarlemmermeerstraat ,1058 JP,1599.0,62,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1641_krooswijkhof,Krooswijkhof ,1083 JA,1350.0,93,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8941_haarlemmer-houttuinen,Haarlemmer Houttuinen ,1013 GM,1550.0,93,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/3238_woestduinstraat,Woestduinstraat ,1058 TG,1525.0,60,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8682_baetostraat,Baetostraat ,1055 EP,1500.0,60,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1467_mauvestraat,Mauvestraat ,1073 RH,1450.0,60,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2115_commelinstraat,Commelinstraat ,1093 TG,775.0,78,2,Gestoffeerd,beschikbaar
