,street,zipcode,price,sq,rooms,gestoffeerd,available
https://www.woonnet.nl/huurwoning/utrecht/9424472_westerdijk,Westerdijk 4-1703,3513 EW,€1495,50,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/9339677_theemsdreef,Theemsdreef 306,3562 EM,€1195,100,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/9440348_oudenoord,Oudenoord ,Utrecht </p>,€1450,72,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/utrecht/6515498_rooseveltlaan,Rooseveltlaan ,Utrecht </p>,€1350,76,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/utrecht/9064570_theemsdreef,Theemsdreef 306,3562 EM,€1195,100,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/8958444_theemsdreef,Theemsdreef 306,3562 EM,€1195,100,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/8872693_theemsdreef,Theemsdreef 306,3562 EM,€1195,100,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/8926733_amsterdamsestraatweg,Amsterdamsestraatweg ,Utrecht </p>,€1450,69,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/utrecht/8823450_einsteindreef,Einsteindreef ,Utrecht </p>,€1400,70,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/utrecht/6510508_vondellaan,Vondellaan 224,Utrecht </p>,€1150,55,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/2956620_jadelaan,Jadelaan ,3523 CS,€1145,60,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/6266322_azielaan,Aziëlaan ,3526 SX,€1400,103,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/6142667_androsdreef,Androsdreef ,3562 XB,€1350,92,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/5787346_slotlaan,Slotlaan ,3523 HE,€1315,63,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/5510138_bernadottelaan,Bernadottelaan ,3527 GB,€1200,102,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/5491639_drieharingstraat,Drieharingstraat ,3511 BH,€1385,50,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/5450575_rachmaninoffplantsoen,Rachmaninoffplantsoen ,3533 JX,€1265,85,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/4452548_jan-van-den-doemstraat,Jan Van Den Doemstraat ,3515 XP,€1200,102,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/4429125_van-starkenborghhof,Van Starkenborghhof ,3527 HB,€920,100,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/4160074_drieharingstraat,Drieharingstraat ,3511 BH,€1250,50,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/3183006_weerdsingel-oostzijde,Weerdsingel Oostzijde ,3514 AJ,€1500,55,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/2815745_wiericke,Wiericke ,3453 MX,€1150,95,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/2610967_bernadottelaan,Bernadottelaan ,3527 GB,€1179,102,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/1864904_palmstraat,Palmstraat ,3572 TA,€1525,65,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/1387877_van-starkenborghhof,Van Starkenborghhof ,3527 HB,€865,85,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/1212985_drieharingstraat,Drieharingstraat ,3511 BH,€1145,50,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/875973_drieharingstraat,Drieharingstraat ,3511 BH,€1395,55,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/utrecht/1361_maliebaan,Maliebaan ,3581 CD,€810,50,99,onbekend,onbekend
