,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/9477717_hillegomstraat,Hillegomstraat ,1058 LT,3000.0,120,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9442591_nieuwe-herengracht,Nieuwe Herengracht ,1011 RJ,2750.0,115,4,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2866_admiraal-de-ruijterweg,Admiraal De Ruijterweg ,1055 MR,613.0,135,4,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9326865_generaal-vetterstraat,Generaal Vetterstraat ,1059 BS,2500.0,143,4,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9318661_rapenburg,Rapenburg 45,1011 TV,2600.0,999,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9288268_spiegelgracht,Spiegelgracht ,1017 JP,2250.0,90,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9202328_amstelveenseweg,Amstelveenseweg ,1054 MB,2750.0,170,4,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7814969_herenstraat,Herenstraat 5 H,1015 BZ,2950.0,999,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7324647_kuipersstraat,Kuipersstraat ,1074 EE,3000.0,150,4,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8793823_spiegelgracht,Spiegelgracht ,1017 JP,2250.0,90,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7803138_orteliusstraat,Orteliusstraat 17 - S,1057 AR,1000.0,999,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7328821_van-eeghenstraat,Van Eeghenstraat ,1071 GE,2500.0,120,4,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3733_vespuccistraat,Vespuccistraat ,1056 SV,700.0,92,4,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6497379_pieter-cornelisz-hooftstraat,Pieter Cornelisz. Hooftstraat ,1071 BL,595.0,999,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6498451_kerkstraat,Kerkstraat ,1017 GA,325.0,999,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1322_stadionplein,Stadionplein ,1076 CK,2175.0,106,99,onbekend,onbekend,01-04-2020
